user_id,signup_date,acquisition_channel,age_bucket,country,used_voice_first_day,used_text_first_day,returned_day_1,returned_day_7,converted_paid
u_000041,2026-04-01,tiktok,25-34,US,0,1,1,0,0
u_000042,2026-04-03,instagram,18-24,US,0,1,1,0,0
u_000043,2026-04-25,tiktok,25-34,US,1,0,0,1,0
u_000044,2026-04-10,referral,25-34,US,0,1,0,0,0
u_000045,2026-04-15,referral,25-34,US,1,1,0,0,0
u_000046,2026-04-07,referral,35-44,Canada,1,1,0,1,0
u_000047,2026-04-05,search,18-24,Other,0,1,0,0,0
u_000048,2026-04-15,instagram,18-24,UK,1,1,1,1,1
u_000049,2026-04-10,referral,18-24,US,0,1,1,0,0
u_000050,2026-04-24,organic,25-34,US,0,1,0,1,0
u_000051,2026-04-04,campus,25-34,Other,1,0,0,0,0
u_000052,2026-04-04,tiktok,18-24,US,1,0,1,0,0
u_000053,2026-04-09,organic,25-34,US,0,1,0,0,0
u_000054,2026-04-20,creator,35-44,UK,1,0,0,1,1
u_000055,2026-04-17,search,18-24,US,0,1,1,0,0
u_000056,2026-04-02,creator,35-44,UK,1,0,0,0,0
u_000057,2026-04-01,tiktok,18-24,US,1,0,1,1,0
u_000058,2026-04-17,organic,25-34,US,0,1,0,0,0
u_000059,2026-04-23,tiktok,25-34,US,1,0,1,1,0
u_000060,2026-04-30,creator,35-44,Other,1,0,0,0,0
u_000061,2026-04-13,referral,18-24,US,1,1,0,0,0
u_000062,2026-04-29,creator,18-24,US,0,1,1,1,0
u_000063,2026-04-29,creator,25-34,US,1,1,1,1,1
u_000064,2026-04-08,campus,18-24,US,1,0,1,0,0
u_000065,2026-04-24,creator,25-34,US,0,1,0,1,0
u_000066,2026-04-11,campus,25-34,US,1,1,0,1,0
u_000067,2026-04-10,search,25-34,US,1,1,1,1,0
u_000068,2026-04-04,instagram,45+,Other,1,0,1,0,0
u_000069,2026-04-01,campus,25-34,US,1,0,0,1,0
u_000070,2026-04-30,organic,18-24,US,1,0,1,1,0
u_000071,2026-04-08,creator,25-34,Other,0,1,1,1,0
u_000072,2026-04-24,search,18-24,UK,1,0,1,1,1
u_000073,2026-04-29,instagram,18-24,US,1,0,0,1,0
u_000074,2026-04-24,instagram,25-34,US,0,1,0,1,1
u_000075,2026-04-01,creator,25-34,UK,0,1,0,0,0
u_000076,2026-04-22,campus,18-24,US,1,0,1,1,0
u_000077,2026-04-05,creator,18-24,Australia,0,1,0,0,0
u_000078,2026-04-04,creator,18-24,US,1,1,1,1,0
u_000079,2026-04-02,organic,35-44,Other,1,0,1,0,0
u_000080,2026-04-04,search,35-44,Canada,1,1,0,1,1
u_000081,2026-04-28,instagram,25-34,Canada,1,1,1,1,0
u_000082,2026-04-28,organic,18-24,US,0,1,0,0,0
u_000083,2026-04-02,search,18-24,US,1,0,0,0,0
u_000084,2026-04-20,instagram,18-24,Other,0,1,1,1,0
u_000085,2026-04-28,referral,18-24,US,0,1,0,0,0
u_000086,2026-04-05,organic,25-34,US,1,0,1,0,0
u_000087,2026-04-20,instagram,45+,Canada,0,1,0,0,1
u_000088,2026-04-02,creator,18-24,US,1,1,0,0,0
u_000089,2026-04-28,organic,18-24,US,1,1,1,0,1
u_000090,2026-05-01,organic,18-24,UK,1,0,1,1,0
u_000091,2026-04-26,tiktok,35-44,US,1,0,0,0,0
u_000092,2026-04-06,creator,18-24,US,0,1,1,0,0
u_000093,2026-04-10,creator,18-24,US,1,1,1,0,0
u_000094,2026-04-30,campus,18-24,US,0,1,1,1,0
u_000095,2026-04-18,campus,25-34,US,1,1,1,1,0
u_000096,2026-04-03,tiktok,18-24,US,0,1,0,0,0
u_000097,2026-04-20,organic,18-24,Other,1,0,0,1,0
u_000098,2026-04-19,instagram,25-34,US,0,1,1,1,0
u_000099,2026-04-19,organic,18-24,UK,1,1,1,1,1
u_000100,2026-04-22,instagram,18-24,US,0,1,0,0,0
u_000101,2026-04-24,search,45+,US,0,1,0,1,0
u_000102,2026-04-04,tiktok,18-24,US,1,0,0,0,0
u_000103,2026-04-12,creator,18-24,US,1,1,0,0,0
u_000104,2026-04-27,tiktok,18-24,UK,1,1,0,0,0
u_000105,2026-04-16,organic,18-24,US,0,1,0,0,0
u_000106,2026-04-17,tiktok,18-24,US,1,1,1,1,0
u_000107,2026-04-13,tiktok,18-24,US,0,1,0,0,0
u_000108,2026-04-30,referral,18-24,US,0,1,0,0,0
u_000109,2026-04-12,search,25-34,US,0,1,0,1,1
u_000110,2026-04-10,referral,25-34,US,0,1,0,0,1
u_000111,2026-04-10,search,45+,US,1,0,1,1,0
u_000112,2026-04-13,campus,18-24,Australia,0,1,0,0,1
u_000113,2026-04-04,creator,25-34,Australia,1,0,1,1,0
u_000114,2026-04-15,tiktok,35-44,Canada,1,0,0,1,0
u_000115,2026-04-15,search,18-24,Other,0,1,0,0,1
u_000116,2026-04-29,organic,18-24,US,0,1,0,0,0
u_000117,2026-04-21,tiktok,25-34,US,0,1,0,1,0
u_000118,2026-04-22,organic,45+,Other,0,1,0,0,0
u_000119,2026-04-29,referral,25-34,US,1,1,1,1,0
u_000120,2026-04-16,organic,18-24,Other,1,1,1,0,0
u_000121,2026-04-28,organic,45+,US,0,1,1,0,0
u_000122,2026-04-04,organic,18-24,Other,1,1,0,0,0
u_000123,2026-04-17,organic,18-24,US,0,1,0,0,1
u_000124,2026-04-05,tiktok,18-24,US,1,1,1,0,0
u_000125,2026-04-12,search,18-24,Australia,0,1,0,1,0
u_000126,2026-04-09,instagram,18-24,US,1,0,1,1,0
u_000127,2026-04-27,referral,18-24,US,1,1,1,1,0
u_000128,2026-04-27,instagram,18-24,US,1,0,0,0,0
u_000129,2026-04-23,referral,25-34,US,0,1,0,1,0
u_000130,2026-04-12,organic,25-34,US,0,1,1,0,0
u_000131,2026-04-16,search,18-24,US,1,0,1,1,0
u_000132,2026-04-24,organic,25-34,US,1,1,0,0,0
u_000133,2026-04-14,instagram,25-34,US,1,1,1,0,0
u_000134,2026-04-19,search,25-34,Australia,0,1,1,1,0
u_000135,2026-04-08,referral,18-24,US,1,0,1,1,1
u_000136,2026-04-04,instagram,18-24,US,0,1,0,0,0
u_000137,2026-04-30,referral,18-24,US,1,1,0,0,0
u_000138,2026-04-13,campus,18-24,US,1,0,1,1,1
u_000139,2026-04-13,tiktok,25-34,Other,0,1,0,0,0
u_000140,2026-04-16,referral,18-24,UK,1,0,0,0,0
u_000141,2026-04-30,search,35-44,Canada,1,1,1,1,0
u_000142,2026-04-09,creator,18-24,UK,1,0,1,1,0
u_000143,2026-04-23,instagram,18-24,US,0,1,0,0,0
u_000144,2026-04-07,organic,18-24,US,1,0,1,1,0
u_000145,2026-04-22,organic,25-34,US,1,0,1,1,0
u_000146,2026-04-07,organic,35-44,US,1,0,1,1,0
u_000147,2026-04-22,tiktok,35-44,Canada,1,0,1,1,0
u_000148,2026-04-13,tiktok,18-24,UK,1,0,0,0,0
u_000149,2026-04-28,instagram,35-44,US,1,0,1,1,0
u_000150,2026-04-08,search,45+,US,0,1,0,0,0
u_000151,2026-04-18,organic,35-44,US,0,1,0,1,0
u_000152,2026-04-11,tiktok,18-24,US,1,1,0,1,0
u_000153,2026-04-16,campus,18-24,US,1,1,0,1,1
u_000154,2026-04-06,instagram,18-24,US,1,1,0,0,0
u_000155,2026-04-05,instagram,18-24,US,1,0,1,1,1
u_000156,2026-04-21,organic,18-24,UK,0,1,0,1,0
u_000157,2026-04-10,tiktok,18-24,US,1,0,0,1,0
u_000158,2026-04-10,instagram,25-34,US,1,1,0,1,1
u_000159,2026-04-30,tiktok,18-24,US,1,1,1,1,0
u_000160,2026-04-27,instagram,25-34,US,0,1,0,0,0
u_000161,2026-04-01,organic,25-34,US,1,1,0,0,0
u_000162,2026-04-29,referral,35-44,US,0,1,0,0,0
u_000163,2026-05-01,referral,18-24,US,1,0,1,0,0
u_000164,2026-04-23,search,18-24,US,1,0,1,1,0
u_000165,2026-04-03,tiktok,25-34,Other,1,0,0,0,0
u_000166,2026-04-13,search,18-24,US,1,0,1,1,0
u_000167,2026-04-07,organic,25-34,US,1,0,0,0,0
u_000168,2026-04-09,referral,25-34,US,0,1,1,0,0
u_000169,2026-04-03,search,35-44,US,1,0,1,0,1
u_000170,2026-04-28,creator,18-24,US,1,0,0,0,0
u_000171,2026-04-11,campus,35-44,US,0,1,0,1,0
u_000172,2026-04-15,referral,18-24,US,1,0,1,1,0
u_000173,2026-04-21,referral,25-34,US,0,1,0,0,0
u_000174,2026-04-18,search,18-24,US,0,1,1,1,0
u_000175,2026-04-30,referral,18-24,UK,0,1,1,0,0
u_000176,2026-04-07,creator,35-44,US,1,0,1,0,0
u_000177,2026-04-11,tiktok,18-24,US,1,0,0,0,0
u_000178,2026-04-18,search,18-24,US,0,1,1,0,0
u_000179,2026-04-06,tiktok,25-34,US,1,0,0,1,0
u_000180,2026-04-16,organic,45+,US,0,1,1,1,0
u_000181,2026-04-18,campus,18-24,Australia,0,1,0,0,0
u_000182,2026-04-23,creator,18-24,US,1,0,1,1,1
u_000183,2026-04-13,campus,25-34,US,0,1,0,0,0
u_000184,2026-04-10,instagram,18-24,Other,1,0,1,1,1
u_000185,2026-04-09,organic,18-24,US,0,1,0,0,0
u_000186,2026-04-29,tiktok,25-34,US,0,1,1,0,0
u_000187,2026-04-23,instagram,25-34,US,1,0,1,1,0
u_000188,2026-04-16,creator,18-24,Australia,0,1,0,0,1
u_000189,2026-04-06,search,25-34,Australia,1,1,1,0,0
u_000190,2026-04-10,organic,18-24,Canada,0,1,0,0,0
u_000191,2026-04-24,referral,25-34,US,1,0,1,1,0
u_000192,2026-04-22,search,18-24,US,0,1,1,1,0
u_000193,2026-04-05,creator,18-24,US,0,1,0,0,0
u_000194,2026-04-28,organic,25-34,US,1,0,0,0,0
u_000195,2026-04-13,instagram,45+,US,1,1,0,0,0
u_000196,2026-04-10,campus,18-24,Other,0,1,0,0,0
u_000197,2026-04-12,tiktok,18-24,US,0,1,0,0,0
u_000198,2026-04-07,tiktok,18-24,US,1,0,0,1,1
u_000199,2026-04-25,organic,35-44,US,1,0,1,1,0
u_000200,2026-04-02,referral,25-34,US,1,0,0,0,0
u_000201,2026-04-22,referral,25-34,US,1,1,0,1,0
u_000202,2026-04-22,tiktok,18-24,US,0,1,1,0,0
u_000203,2026-05-01,organic,25-34,US,1,1,1,1,0
u_000204,2026-04-12,tiktok,18-24,Other,1,0,1,1,1
u_000205,2026-04-29,organic,18-24,US,0,1,0,0,0
u_000206,2026-04-25,instagram,18-24,US,1,1,1,1,0
u_000207,2026-04-20,tiktok,18-24,Australia,1,0,1,1,0
u_000208,2026-04-24,instagram,25-34,US,1,0,1,1,0
u_000209,2026-04-24,instagram,18-24,US,0,1,0,0,0
u_000210,2026-04-26,organic,18-24,US,1,1,0,1,0
u_000211,2026-04-13,organic,45+,US,1,1,0,0,0
u_000212,2026-04-13,referral,25-34,US,1,0,1,1,0
u_000213,2026-04-14,search,18-24,Australia,1,0,1,1,1
u_000214,2026-04-05,organic,18-24,Other,1,1,0,0,0
u_000215,2026-04-08,search,35-44,US,1,0,0,1,0
u_000216,2026-04-22,campus,25-34,US,0,1,0,0,1
u_000217,2026-04-27,organic,35-44,US,1,1,0,1,1
u_000218,2026-04-10,search,35-44,Other,0,1,0,0,0
u_000219,2026-04-07,tiktok,18-24,Canada,0,1,0,0,0
u_000220,2026-04-16,search,25-34,US,1,1,1,1,0
u_000221,2026-04-12,tiktok,18-24,US,0,1,1,0,0
u_000222,2026-04-28,instagram,18-24,US,0,1,1,0,0
u_000223,2026-04-19,search,18-24,UK,0,1,1,0,0
u_000224,2026-04-29,instagram,35-44,US,1,0,0,1,0
u_000225,2026-04-17,organic,35-44,US,1,0,0,0,0
u_000226,2026-04-06,instagram,25-34,US,0,1,0,0,0
u_000227,2026-04-04,referral,18-24,US,1,1,1,0,0
u_000228,2026-04-14,organic,25-34,Canada,0,1,0,0,0
u_000229,2026-04-01,campus,18-24,US,1,0,1,1,1
u_000230,2026-04-22,referral,18-24,US,0,1,0,1,1
u_000231,2026-04-24,search,25-34,US,0,1,0,0,0
u_000232,2026-04-02,tiktok,25-34,US,1,0,0,1,0
u_000233,2026-04-14,referral,35-44,Australia,1,0,0,0,0
u_000234,2026-04-09,referral,35-44,US,1,0,1,1,0
u_000235,2026-04-21,instagram,18-24,Other,1,1,0,1,1
u_000236,2026-04-28,organic,18-24,UK,0,1,0,0,0
u_000237,2026-04-15,search,18-24,US,0,1,0,0,0
u_000238,2026-04-14,tiktok,18-24,US,1,1,1,0,0
u_000239,2026-04-10,search,18-24,Canada,1,1,0,0,0
u_000240,2026-04-11,organic,25-34,US,1,1,0,0,0
u_000241,2026-04-01,organic,35-44,US,0,1,0,0,0
u_000242,2026-04-03,referral,18-24,US,1,0,0,1,1
u_000243,2026-04-17,organic,18-24,US,1,0,0,0,0
u_000244,2026-04-24,creator,35-44,US,1,1,1,1,0
u_000245,2026-04-07,instagram,35-44,Canada,0,1,0,0,0
u_000246,2026-04-19,search,18-24,Other,1,1,1,1,0
u_000247,2026-04-10,tiktok,45+,Other,1,0,1,0,0
u_000248,2026-04-10,search,18-24,US,0,1,1,0,0
u_000249,2026-04-14,organic,25-34,Australia,1,1,1,1,0
u_000250,2026-04-22,creator,35-44,US,0,1,1,1,0
u_000251,2026-04-12,organic,18-24,US,1,1,1,1,1
u_000252,2026-04-02,tiktok,18-24,US,1,0,0,0,0
u_000253,2026-04-15,organic,18-24,US,1,1,1,0,0
u_000254,2026-04-17,instagram,18-24,US,0,1,0,0,0
u_000255,2026-04-17,organic,18-24,US,1,0,0,0,0
u_000256,2026-04-26,instagram,18-24,US,1,0,0,1,0
u_000257,2026-04-18,search,25-34,US,0,1,0,0,1
u_000258,2026-04-15,instagram,18-24,US,1,1,1,0,0
u_000259,2026-04-02,campus,18-24,Canada,1,0,1,1,0
u_000260,2026-04-22,organic,18-24,UK,1,1,0,0,0
u_000261,2026-04-20,organic,25-34,US,1,1,1,1,0
u_000262,2026-04-19,campus,18-24,US,1,1,1,0,0
u_000263,2026-04-01,instagram,18-24,Other,1,1,0,1,0
u_000264,2026-04-14,search,18-24,US,0,1,0,0,0
u_000265,2026-04-27,creator,25-34,US,1,0,0,0,0
u_000266,2026-04-11,campus,25-34,US,1,1,1,1,0
u_000267,2026-05-01,search,18-24,US,1,1,0,1,1
u_000268,2026-04-21,instagram,18-24,Canada,1,0,1,1,1
u_000269,2026-04-27,referral,18-24,US,0,1,1,0,0
u_000270,2026-04-28,organic,25-34,UK,0,1,1,0,0
u_000271,2026-04-29,search,25-34,US,0,1,0,0,0
u_000272,2026-04-09,referral,18-24,US,1,0,1,0,0
u_000273,2026-04-24,organic,25-34,UK,0,1,0,0,0
u_000274,2026-04-02,instagram,25-34,US,1,1,0,0,0
u_000275,2026-04-05,search,35-44,US,1,0,0,1,0
u_000276,2026-04-26,tiktok,35-44,US,0,1,1,1,0
u_000277,2026-04-13,campus,35-44,Canada,1,1,1,1,0
u_000278,2026-05-01,instagram,35-44,US,0,1,1,0,0
u_000279,2026-04-20,search,35-44,US,1,0,1,1,0
u_000280,2026-04-23,organic,18-24,US,0,1,1,0,0
u_000281,2026-04-11,organic,18-24,Canada,0,1,0,1,0
u_000282,2026-04-29,tiktok,25-34,US,1,0,1,1,0
u_000283,2026-04-08,tiktok,25-34,Canada,0,1,1,0,0
u_000284,2026-04-18,tiktok,18-24,Other,1,0,1,1,0
u_000285,2026-04-16,instagram,25-34,Other,0,1,0,0,0
u_000286,2026-04-01,creator,18-24,US,0,1,0,1,0
u_000287,2026-04-19,tiktok,18-24,US,0,1,0,1,0
u_000288,2026-04-08,organic,35-44,US,0,1,1,0,0
u_000289,2026-04-13,instagram,18-24,US,1,1,1,1,1
u_000290,2026-04-17,instagram,18-24,US,1,1,1,0,1
u_000291,2026-04-01,tiktok,18-24,US,1,1,1,0,1
u_000292,2026-04-13,instagram,18-24,US,0,1,0,0,0
u_000293,2026-04-10,tiktok,25-34,US,0,1,1,0,0
u_000294,2026-04-15,referral,25-34,US,0,1,0,1,0
u_000295,2026-04-25,organic,18-24,UK,0,1,0,0,0
u_000296,2026-04-03,referral,35-44,Australia,1,0,1,0,1
u_000297,2026-04-17,search,35-44,Canada,1,0,0,0,0
u_000298,2026-04-12,instagram,25-34,Australia,0,1,0,1,0
u_000299,2026-04-06,campus,35-44,UK,0,1,0,1,0
u_000300,2026-04-22,instagram,25-34,Australia,1,0,1,1,0
u_000301,2026-04-17,organic,18-24,Canada,1,0,0,0,0
u_000302,2026-04-10,campus,25-34,US,1,0,0,0,0
u_000303,2026-04-12,organic,18-24,US,1,0,0,0,0
u_000304,2026-04-11,organic,18-24,US,1,0,0,0,0
u_000305,2026-04-01,instagram,18-24,Other,1,0,0,1,0
u_000306,2026-04-09,tiktok,45+,US,1,1,1,0,0
u_000307,2026-04-05,organic,25-34,US,1,1,0,0,0
u_000308,2026-04-06,creator,18-24,US,1,1,1,0,0
u_000309,2026-04-29,referral,45+,US,1,0,0,0,0
u_000310,2026-04-12,organic,25-34,US,0,1,0,0,0
u_000311,2026-04-30,instagram,18-24,US,1,0,0,1,0
u_000312,2026-04-18,search,18-24,US,0,1,1,0,0
u_000313,2026-04-30,tiktok,35-44,Other,0,1,0,0,0
u_000314,2026-04-15,tiktok,18-24,UK,1,0,1,0,0
u_000315,2026-04-11,instagram,25-34,US,1,0,0,1,0
u_000316,2026-04-21,organic,18-24,US,0,1,1,0,0
u_000317,2026-04-17,tiktok,18-24,US,0,1,0,0,0
u_000318,2026-04-08,referral,35-44,US,1,0,0,0,0
u_000319,2026-04-29,search,18-24,Other,0,1,0,0,0
u_000320,2026-04-16,instagram,45+,US,1,0,1,1,0
u_000321,2026-04-27,creator,25-34,US,0,1,0,1,0
u_000322,2026-04-19,referral,25-34,Australia,0,1,1,1,0
u_000323,2026-04-17,campus,18-24,US,1,0,1,0,0
u_000324,2026-04-15,tiktok,18-24,US,1,0,0,0,0
u_000325,2026-04-16,campus,18-24,US,1,0,1,0,0
u_000326,2026-05-01,instagram,25-34,US,1,0,0,1,1
u_000327,2026-05-01,organic,25-34,US,1,0,0,0,0
u_000328,2026-04-14,organic,25-34,US,1,1,1,1,1
u_000329,2026-04-20,instagram,18-24,Canada,1,1,0,0,0
u_000330,2026-04-10,organic,18-24,US,1,0,0,0,1
u_000331,2026-04-14,referral,18-24,US,1,0,1,1,0
u_000332,2026-04-25,search,25-34,US,1,0,1,0,0
u_000333,2026-04-04,organic,25-34,US,1,1,1,1,0
u_000334,2026-04-08,creator,18-24,US,1,0,1,0,1
u_000335,2026-04-18,campus,18-24,US,1,0,1,1,0
u_000336,2026-04-11,creator,18-24,US,0,1,0,0,0
u_000337,2026-04-01,search,25-34,US,0,1,0,1,0
u_000338,2026-04-02,referral,35-44,US,1,0,1,0,0
u_000339,2026-04-12,search,25-34,Australia,0,1,0,1,0
u_000340,2026-04-28,organic,18-24,US,1,0,1,0,0
u_000341,2026-04-05,campus,35-44,US,1,1,1,1,0
u_000342,2026-04-07,tiktok,18-24,US,1,0,1,1,0
u_000343,2026-04-30,organic,18-24,US,0,1,0,0,0
u_000344,2026-04-28,referral,25-34,US,1,1,0,0,0
u_000345,2026-04-18,referral,25-34,US,1,0,0,1,0
u_000346,2026-04-30,organic,18-24,UK,0,1,0,0,0
u_000347,2026-05-01,instagram,25-34,US,1,0,0,1,0
u_000348,2026-04-15,search,18-24,Australia,1,1,0,0,0
u_000349,2026-04-13,instagram,18-24,US,1,0,0,1,0
u_000350,2026-04-12,search,25-34,US,1,0,1,1,0
u_000351,2026-04-13,organic,18-24,US,1,0,1,0,0
u_000352,2026-04-17,tiktok,18-24,US,1,0,1,1,1
u_000353,2026-04-18,organic,25-34,US,0,1,0,0,0
u_000354,2026-04-27,organic,25-34,Canada,0,1,0,1,0
u_000355,2026-04-27,search,18-24,US,1,1,1,1,1
u_000356,2026-04-01,tiktok,18-24,US,1,0,1,0,0
u_000357,2026-04-29,organic,18-24,US,1,0,0,1,0
u_000358,2026-04-12,search,18-24,US,1,0,0,1,1
u_000359,2026-04-02,creator,18-24,US,1,0,0,1,0
u_000360,2026-04-09,creator,18-24,US,1,0,0,0,0
u_000361,2026-04-21,organic,18-24,US,0,1,0,0,0
u_000362,2026-05-01,organic,18-24,Other,0,1,0,0,0
u_000363,2026-04-02,referral,25-34,US,1,1,1,0,0
u_000364,2026-04-16,creator,25-34,US,0,1,0,0,0
u_000365,2026-04-23,instagram,18-24,US,1,0,0,1,0
u_000366,2026-04-25,referral,25-34,US,1,0,1,1,1
u_000367,2026-04-22,organic,18-24,Other,0,1,0,1,0
u_000368,2026-04-03,referral,25-34,US,0,1,0,0,0
u_000369,2026-04-13,organic,25-34,US,0,1,1,0,0
u_000370,2026-04-05,tiktok,18-24,US,1,0,0,0,0
u_000371,2026-04-13,organic,18-24,UK,1,0,1,1,0
u_000372,2026-04-24,instagram,25-34,US,1,0,1,1,0
u_000373,2026-04-21,organic,18-24,US,0,1,0,0,0
u_000374,2026-04-12,organic,25-34,US,0,1,1,1,0
u_000375,2026-04-18,campus,35-44,US,1,0,1,1,0
u_000376,2026-04-19,instagram,18-24,US,0,1,0,0,0
u_000377,2026-04-25,search,35-44,US,1,0,1,1,0
u_000378,2026-04-22,referral,18-24,US,1,1,0,1,0
u_000379,2026-04-19,instagram,35-44,UK,1,0,1,1,0
u_000380,2026-04-26,search,25-34,US,1,0,1,1,1
u_000381,2026-04-23,referral,35-44,Other,1,0,0,0,1
u_000382,2026-04-19,instagram,18-24,Canada,1,0,1,0,0
u_000383,2026-04-06,tiktok,18-24,US,1,0,1,0,0
u_000384,2026-04-08,search,18-24,UK,1,1,1,0,1
u_000385,2026-04-24,campus,18-24,UK,1,1,1,1,0
u_000386,2026-04-06,instagram,25-34,US,1,1,0,1,0
u_000387,2026-04-06,tiktok,25-34,Australia,1,1,0,1,0
u_000388,2026-04-07,organic,35-44,US,0,1,0,1,1
u_000389,2026-04-30,instagram,25-34,Australia,1,0,1,0,0
u_000390,2026-04-17,campus,25-34,Australia,1,1,1,0,0
u_000391,2026-04-11,tiktok,25-34,US,1,0,1,0,0
u_000392,2026-04-23,campus,18-24,US,0,1,1,0,0
u_000393,2026-04-15,creator,18-24,Other,1,0,1,1,0
u_000394,2026-04-05,tiktok,35-44,US,0,1,1,1,0
u_000395,2026-04-15,organic,18-24,US,0,1,0,1,0
u_000396,2026-04-07,creator,18-24,US,0,1,0,0,1
u_000397,2026-04-14,tiktok,18-24,US,1,1,1,0,0
u_000398,2026-04-03,referral,18-24,Other,0,1,1,0,0
u_000399,2026-04-13,referral,18-24,US,0,1,0,0,0
u_000400,2026-04-23,search,25-34,US,0,1,0,0,0
u_000401,2026-04-25,search,35-44,US,1,1,1,1,0
u_000402,2026-04-30,instagram,18-24,US,1,1,1,1,0
u_000403,2026-04-28,instagram,18-24,US,0,1,1,1,1
u_000404,2026-04-28,search,25-34,US,0,1,1,1,0
u_000405,2026-04-24,referral,18-24,US,1,0,1,0,0
u_000406,2026-04-17,creator,18-24,US,0,1,0,1,0
u_000407,2026-04-15,organic,18-24,Other,0,1,0,0,0
u_000408,2026-04-29,tiktok,18-24,US,1,1,0,0,1
u_000409,2026-04-06,organic,45+,US,1,1,1,0,0
u_000410,2026-04-09,tiktok,18-24,UK,1,0,0,0,0
u_000411,2026-04-30,campus,18-24,US,1,0,1,0,1
u_000412,2026-04-10,creator,35-44,US,1,0,0,0,0
u_000413,2026-04-13,instagram,18-24,Australia,0,1,0,0,0
u_000414,2026-04-24,search,18-24,US,0,1,0,1,0
u_000415,2026-04-08,referral,18-24,US,1,1,0,0,0
u_000416,2026-04-15,tiktok,18-24,US,1,0,1,1,0
u_000417,2026-04-07,tiktok,18-24,US,0,1,1,1,0
u_000418,2026-05-01,search,18-24,US,0,1,1,1,0
u_000419,2026-04-03,organic,18-24,Other,0,1,0,0,1
u_000420,2026-04-06,tiktok,35-44,US,1,0,0,0,0
u_000421,2026-04-23,organic,25-34,Canada,0,1,1,1,0
u_000422,2026-04-18,referral,18-24,US,0,1,0,0,0
u_000423,2026-04-15,tiktok,18-24,US,0,1,0,1,0
u_000424,2026-04-10,organic,18-24,UK,1,0,0,0,0
u_000425,2026-04-04,campus,35-44,US,1,0,0,0,1
u_000426,2026-04-16,search,18-24,US,1,0,0,0,0
u_000427,2026-04-21,campus,18-24,US,0,1,1,1,0
u_000428,2026-04-01,campus,35-44,US,1,1,0,0,0
u_000429,2026-04-04,search,18-24,US,1,0,0,1,0
u_000430,2026-04-22,tiktok,35-44,US,1,1,1,1,0
u_000431,2026-04-07,search,18-24,Canada,0,1,0,0,0
u_000432,2026-04-21,instagram,35-44,US,0,1,0,0,0
u_000433,2026-04-01,instagram,25-34,US,1,0,0,0,0
u_000434,2026-04-21,campus,35-44,US,0,1,1,1,0
u_000435,2026-04-02,instagram,25-34,Canada,1,1,0,1,0
u_000436,2026-04-22,referral,18-24,Other,1,0,0,0,0
u_000437,2026-04-03,organic,18-24,Other,1,0,0,0,0
