session_id,user_id,session_date,session_type,session_length_minutes,num_messages,main_topic,sentiment_score
s_u_000038_01,u_000038,2026-04-19,voice,2.57,11,school_stress,-0.732
s_u_000038_02,u_000038,2026-04-18,voice,2.48,8,general_checkin,-0.395
s_u_000038_03,u_000038,2026-04-21,text,0.63,3,motivation,-0.764
s_u_000038_04,u_000038,2026-04-17,voice,6.12,10,general_checkin,-1.0
s_u_000038_05,u_000038,2026-04-22,text,3.92,11,motivation,-0.73
s_u_000038_06,u_000038,2026-04-18,text,2.55,16,school_stress,-0.544
s_u_000039_01,u_000039,2026-05-02,voice,5.65,12,loneliness,-1.0
s_u_000039_02,u_000039,2026-05-05,text,1.41,8,motivation,-1.0
s_u_000039_03,u_000039,2026-04-28,voice,2.77,5,general_checkin,-0.728
s_u_000039_04,u_000039,2026-05-04,text,1.5,5,loneliness,-1.0
s_u_000040_01,u_000040,2026-04-30,voice,6.25,9,loneliness,0.262
s_u_000040_02,u_000040,2026-05-05,voice,2.62,7,loneliness,0.407
s_u_000041_01,u_000041,2026-04-03,voice,4.36,8,relationships,-0.179
s_u_000041_02,u_000041,2026-04-03,voice,0.2,3,relationships,-0.249
s_u_000041_03,u_000041,2026-04-06,voice,0.2,2,relationships,-0.38
s_u_000041_04,u_000041,2026-04-03,voice,0.27,2,relationships,-0.208
s_u_000041_05,u_000041,2026-04-04,voice,2.56,5,relationships,-0.006
s_u_000042_01,u_000042,2026-04-06,voice,0.2,3,motivation,-0.534
s_u_000043_01,u_000043,2026-04-27,voice,8.14,17,career,0.666
s_u_000043_02,u_000043,2026-04-28,text,4.47,18,career,0.208
s_u_000043_03,u_000043,2026-05-02,text,3.74,18,motivation,0.482
s_u_000043_04,u_000043,2026-04-28,text,7.15,22,career,0.64
s_u_000043_05,u_000043,2026-04-30,text,5.57,24,career,0.259
s_u_000043_06,u_000043,2026-04-27,voice,6.07,17,career,0.475
s_u_000044_01,u_000044,2026-04-17,voice,1.53,3,loneliness,-0.319
s_u_000044_02,u_000044,2026-04-15,text,3.55,14,loneliness,-0.177
s_u_000045_01,u_000045,2026-04-16,voice,0.93,3,motivation,0.865
s_u_000045_02,u_000045,2026-04-19,text,4.08,16,motivation,0.927
s_u_000045_03,u_000045,2026-04-18,text,0.2,3,motivation,0.99
s_u_000045_04,u_000045,2026-04-15,voice,2.33,4,motivation,1.0
s_u_000046_01,u_000046,2026-04-08,voice,1.92,6,career,-0.437
s_u_000046_02,u_000046,2026-04-11,voice,1.1,6,career,-0.356
s_u_000047_01,u_000047,2026-04-09,voice,0.42,3,career,0.045
s_u_000047_02,u_000047,2026-04-06,voice,0.2,2,motivation,0.185
s_u_000048_01,u_000048,2026-04-21,voice,4.9,12,motivation,-0.289
s_u_000049_01,u_000049,2026-04-15,voice,0.2,2,relationships,-0.376
s_u_000049_02,u_000049,2026-04-12,voice,0.2,3,general_checkin,-0.131
s_u_000050_01,u_000050,2026-04-28,voice,2.72,11,family,0.452
s_u_000050_02,u_000050,2026-04-28,voice,6.46,16,motivation,0.101
s_u_000050_03,u_000050,2026-04-26,text,5.17,17,family,0.08
s_u_000050_04,u_000050,2026-05-01,text,4.27,7,family,0.012
s_u_000050_05,u_000050,2026-04-30,text,3.14,16,motivation,-0.074
s_u_000050_06,u_000050,2026-04-24,text,5.63,25,general_checkin,0.341
s_u_000051_01,u_000051,2026-04-04,voice,2.12,6,school_stress,1.0
s_u_000051_02,u_000051,2026-04-04,text,0.58,2,school_stress,1.0
s_u_000052_01,u_000052,2026-04-10,voice,18.24,57,school_stress,0.086
s_u_000052_02,u_000052,2026-04-11,text,12.77,45,general_checkin,-0.101
s_u_000052_03,u_000052,2026-04-05,text,11.63,34,school_stress,-0.155
s_u_000053_01,u_000053,2026-04-14,voice,0.2,2,loneliness,-1.0
s_u_000054_01,u_000054,2026-04-22,voice,3.64,8,relationships,-0.968
s_u_000054_02,u_000054,2026-04-25,text,3.63,15,relationships,-0.753
s_u_000055_01,u_000055,2026-04-19,text,4.22,17,sleep,-0.534
s_u_000056_01,u_000056,2026-04-06,voice,0.2,3,relationships,-0.078
s_u_000056_02,u_000056,2026-04-03,voice,0.2,2,general_checkin,0.352
s_u_000056_03,u_000056,2026-04-08,text,0.2,2,relationships,0.069
s_u_000057_01,u_000057,2026-04-08,voice,4.62,14,sleep,-0.543
s_u_000057_02,u_000057,2026-04-08,voice,6.94,13,sleep,-0.514
s_u_000057_03,u_000057,2026-04-05,text,5.63,25,sleep,-0.262
s_u_000057_04,u_000057,2026-04-05,text,6.42,17,sleep,-0.229
s_u_000058_01,u_000058,2026-04-17,voice,0.2,3,motivation,0.031
s_u_000058_02,u_000058,2026-04-20,text,1.67,8,motivation,-0.152
s_u_000059_01,u_000059,2026-04-29,voice,1.98,4,school_stress,0.283
s_u_000059_02,u_000059,2026-04-30,text,0.88,6,school_stress,-0.122
s_u_000059_03,u_000059,2026-04-26,voice,2.27,5,motivation,-0.405
s_u_000059_04,u_000059,2026-04-30,voice,3.55,5,school_stress,0.392
s_u_000059_05,u_000059,2026-04-30,text,2.7,11,school_stress,0.403
s_u_000059_06,u_000059,2026-04-25,voice,2.54,5,school_stress,0.245
s_u_000059_07,u_000059,2026-04-24,voice,4.43,10,school_stress,0.109
s_u_000060_01,u_000060,2026-05-06,voice,15.62,28,relationships,-0.311
s_u_000060_02,u_000060,2026-05-07,voice,6.22,11,relationships,-0.6
s_u_000060_03,u_000060,2026-05-06,text,9.05,31,relationships,-0.427
s_u_000060_04,u_000060,2026-05-06,voice,8.78,11,relationships,-0.257
s_u_000060_05,u_000060,2026-05-06,text,11.44,35,relationships,-0.401
s_u_000061_01,u_000061,2026-04-14,voice,5.21,12,general_checkin,0.639
s_u_000061_02,u_000061,2026-04-15,text,4.34,15,general_checkin,0.572
s_u_000062_01,u_000062,2026-04-29,text,0.2,3,motivation,0.868
s_u_000062_02,u_000062,2026-05-01,voice,4.92,12,motivation,0.96
s_u_000062_03,u_000062,2026-05-01,voice,0.2,2,motivation,1.0
s_u_000063_01,u_000063,2026-05-02,voice,3.0,5,relationships,0.627
s_u_000063_02,u_000063,2026-04-30,text,1.58,7,relationships,0.146
s_u_000063_03,u_000063,2026-04-30,voice,0.2,3,relationships,-0.017
s_u_000063_04,u_000063,2026-05-03,voice,1.98,4,relationships,0.06
s_u_000064_01,u_000064,2026-04-10,voice,10.56,22,school_stress,-0.359
s_u_000064_02,u_000064,2026-04-13,voice,7.86,13,school_stress,-0.621
s_u_000064_03,u_000064,2026-04-12,text,5.85,26,motivation,-0.448
s_u_000064_04,u_000064,2026-04-10,voice,5.62,13,school_stress,-0.586
s_u_000065_01,u_000065,2026-04-27,voice,3.12,6,school_stress,-0.338
s_u_000065_02,u_000065,2026-04-29,voice,1.55,4,school_stress,-0.611
s_u_000065_03,u_000065,2026-04-28,voice,3.76,9,school_stress,-0.848
s_u_000065_04,u_000065,2026-05-01,voice,1.68,4,school_stress,-0.521
s_u_000065_05,u_000065,2026-04-27,text,0.67,5,school_stress,-0.757
s_u_000065_06,u_000065,2026-04-25,voice,2.93,10,school_stress,-0.494
s_u_000066_01,u_000066,2026-04-15,voice,2.94,8,relationships,-0.056
s_u_000066_02,u_000066,2026-04-12,voice,0.89,4,relationships,-0.285
s_u_000066_03,u_000066,2026-04-12,voice,1.51,7,relationships,0.147
s_u_000066_04,u_000066,2026-04-15,voice,5.51,8,general_checkin,-0.142
s_u_000066_05,u_000066,2026-04-11,voice,0.2,3,general_checkin,0.027
s_u_000066_06,u_000066,2026-04-12,voice,4.32,11,general_checkin,-0.356
s_u_000067_01,u_000067,2026-04-14,voice,5.67,13,relationships,-0.374
s_u_000067_02,u_000067,2026-04-10,text,5.98,28,relationships,0.031
s_u_000067_03,u_000067,2026-04-14,voice,2.93,10,relationships,-0.233
s_u_000067_04,u_000067,2026-04-13,voice,4.46,13,relationships,-0.337
s_u_000067_05,u_000067,2026-04-10,text,6.08,28,general_checkin,-0.26
s_u_000068_01,u_000068,2026-04-05,voice,7.43,15,school_stress,-0.034
s_u_000069_01,u_000069,2026-04-02,voice,15.47,31,general_checkin,-0.551
s_u_000069_02,u_000069,2026-04-04,voice,14.75,28,general_checkin,-0.732
s_u_000069_03,u_000069,2026-04-06,voice,10.46,16,general_checkin,-0.662
s_u_000069_04,u_000069,2026-04-03,voice,8.07,18,general_checkin,-0.781
s_u_000069_05,u_000069,2026-04-02,text,12.01,38,general_checkin,-0.832
s_u_000069_06,u_000069,2026-04-03,voice,10.19,24,general_checkin,-0.582
s_u_000070_01,u_000070,2026-05-06,voice,9.37,25,career,0.146
s_u_000070_02,u_000070,2026-05-07,text,10.77,39,career,0.166
s_u_000070_03,u_000070,2026-05-03,voice,8.53,12,career,0.03
s_u_000070_04,u_000070,2026-05-06,voice,8.25,11,career,0.401
s_u_000070_05,u_000070,2026-05-02,voice,10.68,22,career,-0.1
s_u_000070_06,u_000070,2026-05-06,voice,5.39,11,general_checkin,0.005
s_u_000071_01,u_000071,2026-04-12,voice,2.32,9,motivation,0.508
s_u_000071_02,u_000071,2026-04-14,voice,1.39,5,motivation,0.39
s_u_000071_03,u_000071,2026-04-12,voice,0.2,4,motivation,0.19
s_u_000071_04,u_000071,2026-04-11,voice,0.2,2,motivation,0.125
s_u_000071_05,u_000071,2026-04-14,text,0.2,2,motivation,0.338
s_u_000071_06,u_000071,2026-04-14,text,2.16,8,motivation,0.038
s_u_000072_01,u_000072,2026-04-25,voice,2.74,8,general_checkin,-0.774
s_u_000072_02,u_000072,2026-04-26,text,1.77,14,general_checkin,-0.24
s_u_000072_03,u_000072,2026-04-25,voice,7.35,11,general_checkin,-0.366
s_u_000072_04,u_000072,2026-04-26,voice,2.31,5,general_checkin,-0.365
s_u_000072_05,u_000072,2026-04-24,voice,0.2,2,general_checkin,-0.381
s_u_000072_06,u_000072,2026-04-30,text,2.61,10,motivation,-0.319
s_u_000073_01,u_000073,2026-04-30,voice,11.2,29,career,-0.151
s_u_000073_02,u_000073,2026-05-02,text,9.44,34,motivation,0.018
s_u_000073_03,u_000073,2026-04-29,text,10.61,37,general_checkin,-0.321
s_u_000073_04,u_000073,2026-05-06,voice,6.91,9,motivation,0.125
s_u_000073_05,u_000073,2026-04-30,text,8.93,33,motivation,-0.176
s_u_000074_01,u_000074,2026-04-30,voice,1.54,5,motivation,0.633
s_u_000074_02,u_000074,2026-04-27,voice,0.2,2,motivation,0.351
s_u_000075_01,u_000075,2026-04-03,text,0.2,2,career,-0.391
s_u_000076_01,u_000076,2026-04-24,voice,7.13,11,motivation,-0.632
s_u_000076_02,u_000076,2026-04-23,voice,8.74,17,motivation,-0.48
s_u_000076_03,u_000076,2026-04-28,text,5.69,19,motivation,-0.768
s_u_000076_04,u_000076,2026-04-26,voice,5.43,12,motivation,-0.958
s_u_000076_05,u_000076,2026-04-25,voice,6.69,9,motivation,-0.471
s_u_000076_06,u_000076,2026-04-28,text,7.34,27,motivation,-0.514
s_u_000077_01,u_000077,2026-04-11,text,3.34,14,career,0.432
s_u_000077_02,u_000077,2026-04-12,voice,2.63,5,career,0.362
s_u_000077_03,u_000077,2026-04-09,text,4.14,16,general_checkin,0.094
s_u_000078_01,u_000078,2026-04-05,voice,0.86,2,relationships,-0.928
s_u_000079_01,u_000079,2026-04-07,voice,6.04,14,motivation,0.508
s_u_000079_02,u_000079,2026-04-02,text,0.92,4,motivation,0.564
s_u_000079_03,u_000079,2026-04-02,text,4.32,24,motivation,0.074
s_u_000080_01,u_000080,2026-04-04,voice,7.6,16,school_stress,-0.282
s_u_000080_02,u_000080,2026-04-05,text,8.48,47,school_stress,0.263
s_u_000080_03,u_000080,2026-04-11,text,4.21,19,general_checkin,0.03
s_u_000080_04,u_000080,2026-04-08,voice,0.2,2,school_stress,0.007
s_u_000080_05,u_000080,2026-04-11,voice,2.63,5,school_stress,-0.193
s_u_000080_06,u_000080,2026-04-08,text,0.81,4,school_stress,-0.031
s_u_000081_01,u_000081,2026-05-05,voice,11.01,28,relationships,-0.109
s_u_000081_02,u_000081,2026-05-02,voice,6.05,9,relationships,0.068
s_u_000081_03,u_000081,2026-05-03,text,4.75,18,motivation,-0.074
s_u_000081_04,u_000081,2026-05-04,voice,10.35,24,relationships,-0.362
s_u_000082_01,u_000082,2026-04-30,text,0.2,2,motivation,-0.573
s_u_000082_02,u_000082,2026-04-28,text,0.2,3,motivation,-0.285
s_u_000083_01,u_000083,2026-04-03,voice,5.1,15,loneliness,0.021
s_u_000083_02,u_000083,2026-04-09,text,6.57,29,loneliness,-0.338
s_u_000084_01,u_000084,2026-04-20,text,0.2,2,relationships,0.106
s_u_000084_02,u_000084,2026-04-20,voice,2.64,7,general_checkin,-0.2
s_u_000084_03,u_000084,2026-04-20,text,0.2,3,general_checkin,-0.137
s_u_000085_01,u_000085,2026-05-01,text,0.2,3,career,0.473
s_u_000085_02,u_000085,2026-04-28,text,0.2,4,motivation,0.103
s_u_000086_01,u_000086,2026-04-06,voice,0.2,3,school_stress,-0.122
s_u_000087_01,u_000087,2026-04-23,text,0.2,2,family,-0.279
s_u_000088_01,u_000088,2026-04-09,voice,2.75,8,career,-0.35
s_u_000088_02,u_000088,2026-04-08,voice,4.27,9,career,-0.431
s_u_000089_01,u_000089,2026-05-05,voice,4.97,14,general_checkin,0.395
s_u_000089_02,u_000089,2026-04-30,text,6.15,27,general_checkin,0.0
s_u_000089_03,u_000089,2026-05-01,voice,7.03,14,motivation,0.102
s_u_000090_01,u_000090,2026-05-05,voice,3.13,5,motivation,0.928
s_u_000090_02,u_000090,2026-05-01,text,2.55,18,general_checkin,0.669
s_u_000090_03,u_000090,2026-05-07,voice,5.52,12,general_checkin,0.637
s_u_000090_04,u_000090,2026-05-07,text,0.67,2,motivation,0.789
s_u_000090_05,u_000090,2026-05-04,voice,7.21,12,motivation,0.655
s_u_000091_01,u_000091,2026-05-02,voice,4.01,8,sleep,0.452
s_u_000092_01,u_000092,2026-04-07,text,1.16,7,loneliness,-0.707
s_u_000092_02,u_000092,2026-04-11,voice,3.45,8,loneliness,-0.919
s_u_000093_01,u_000093,2026-04-13,voice,9.65,28,family,0.046
s_u_000093_02,u_000093,2026-04-16,text,5.74,21,family,-0.22
s_u_000093_03,u_000093,2026-04-13,text,6.7,24,family,-0.284
s_u_000093_04,u_000093,2026-04-10,voice,2.32,8,motivation,0.07
s_u_000093_05,u_000093,2026-04-12,text,5.23,23,family,-0.197
s_u_000093_06,u_000093,2026-04-12,text,4.81,16,family,-0.085
s_u_000093_07,u_000093,2026-04-10,text,6.68,26,family,-0.37
s_u_000093_08,u_000093,2026-04-16,text,5.77,20,family,0.062
s_u_000093_09,u_000093,2026-04-10,text,3.17,19,general_checkin,-0.585
s_u_000094_01,u_000094,2026-05-04,voice,0.84,2,school_stress,-0.121
s_u_000094_02,u_000094,2026-05-04,text,4.35,22,school_stress,-0.018
s_u_000094_03,u_000094,2026-05-06,text,3.54,19,general_checkin,0.284
s_u_000094_04,u_000094,2026-05-03,voice,1.25,5,school_stress,0.34
s_u_000094_05,u_000094,2026-05-05,voice,0.2,4,school_stress,0.026
s_u_000095_01,u_000095,2026-04-19,voice,0.2,2,relationships,-0.162
s_u_000095_02,u_000095,2026-04-22,text,0.43,4,general_checkin,-0.231
s_u_000096_01,u_000096,2026-04-06,voice,0.2,2,relationships,-0.368
s_u_000097_01,u_000097,2026-04-23,voice,4.43,15,career,0.239
s_u_000097_02,u_000097,2026-04-23,text,6.51,28,career,0.076
s_u_000097_03,u_000097,2026-04-21,voice,1.34,3,career,0.284
s_u_000097_04,u_000097,2026-04-25,text,4.87,14,career,-0.034
s_u_000097_05,u_000097,2026-04-27,voice,9.03,23,career,0.085
s_u_000097_06,u_000097,2026-04-22,voice,7.77,21,career,-0.177
s_u_000098_01,u_000098,2026-04-19,text,6.35,22,school_stress,-0.812
s_u_000098_02,u_000098,2026-04-19,text,3.75,17,school_stress,-0.727
s_u_000098_03,u_000098,2026-04-21,text,8.38,30,general_checkin,-0.984
s_u_000098_04,u_000098,2026-04-24,text,0.2,3,school_stress,-0.847
s_u_000098_05,u_000098,2026-04-19,text,2.37,9,general_checkin,-0.879
s_u_000098_06,u_000098,2026-04-26,voice,6.46,23,school_stress,-1.0
s_u_000098_07,u_000098,2026-04-24,voice,3.13,5,motivation,-0.785
s_u_000099_01,u_000099,2026-04-26,voice,0.2,2,motivation,-0.768
s_u_000099_02,u_000099,2026-04-24,text,2.14,10,general_checkin,-0.351
s_u_000099_03,u_000099,2026-04-24,text,4.3,18,motivation,-0.284
s_u_000100_01,u_000100,2026-04-25,text,1.48,5,loneliness,0.256
s_u_000101_01,u_000101,2026-04-28,voice,1.46,6,sleep,-0.322
s_u_000101_02,u_000101,2026-04-28,text,0.2,3,motivation,-0.326
s_u_000102_01,u_000102,2026-04-09,voice,7.53,14,sleep,-0.201
s_u_000102_02,u_000102,2026-04-04,text,6.84,26,general_checkin,-0.237
s_u_000102_03,u_000102,2026-04-10,voice,1.69,5,sleep,-0.148
s_u_000102_04,u_000102,2026-04-08,text,5.98,20,sleep,-0.158
s_u_000103_01,u_000103,2026-04-18,voice,0.46,2,school_stress,-0.171
s_u_000103_02,u_000103,2026-04-13,text,2.16,11,school_stress,-0.189
s_u_000103_03,u_000103,2026-04-17,text,2.1,11,school_stress,-0.389
s_u_000104_01,u_000104,2026-05-01,voice,1.98,6,motivation,0.429
s_u_000104_02,u_000104,2026-05-02,voice,1.12,4,motivation,0.38
s_u_000105_01,u_000105,2026-04-23,voice,0.42,2,general_checkin,0.143
s_u_000105_02,u_000105,2026-04-17,voice,3.67,9,general_checkin,-0.023
s_u_000105_03,u_000105,2026-04-16,voice,0.2,3,motivation,0.304
s_u_000106_01,u_000106,2026-04-23,voice,4.22,7,general_checkin,0.327
s_u_000106_02,u_000106,2026-04-18,text,5.21,12,general_checkin,0.196
s_u_000106_03,u_000106,2026-04-18,voice,3.14,9,general_checkin,-0.037
s_u_000106_04,u_000106,2026-04-17,text,1.25,6,general_checkin,0.278
s_u_000106_05,u_000106,2026-04-23,text,2.12,9,general_checkin,0.174
s_u_000107_01,u_000107,2026-04-16,text,0.2,3,motivation,0.358
